model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,missing,Idle Mean,35.0,0.9311093764604573,0.005129662284158507,20,0.0011470273568995263,0.002400755849055093,0.9287086206114022,0.9335101323095124
cnn_lstm,binary,missing,Idle Mean,50.0,0.9292264633051064,0.0058230293831567515,20,0.0013020689535717166,0.0027252616403238583,0.9265012016647826,0.9319517249454302
cnn_lstm,binary,missing,Idle Mean,75.0,0.9310075781777668,0.002722754106797167,20,0.0006088263268815187,0.0012742881471200745,0.9297332900306468,0.9322818663248869
cnn_lstm,binary,missing,Init Fwd Win Byts,5.0,0.9306558388263367,0.0043456073246021555,20,0.0009717073381331413,0.002033806832557733,0.928622031993779,0.9326896456588945
cnn_lstm,binary,missing,Init Fwd Win Byts,10.0,0.9292316655216846,0.007856118068392079,20,0.001756681404018903,0.0036767764345433246,0.9255548890871412,0.9329084419562279
cnn_lstm,binary,missing,Init Fwd Win Byts,20.0,0.9301764875032342,0.007579021019559767,20,0.0016947206202635402,0.0035470910237133586,0.9266293964795209,0.9337235785269475
cnn_lstm,binary,missing,Init Fwd Win Byts,35.0,0.9290726627173514,0.005814455190392003,20,0.0013001517057843,0.002721248794586534,0.9263514139227649,0.931793911511938
cnn_lstm,binary,missing,Init Fwd Win Byts,50.0,0.9295525693145084,0.00860035177729992,20,0.0019230971204453752,0.0040250885320555225,0.9255274807824528,0.9335776578465639
cnn_lstm,binary,missing,Init Fwd Win Byts,75.0,0.9230634570805097,0.008408428948823609,20,0.0018801818713546688,0.00393526588340775,0.919128191197102,0.9269987229639175
cnn_lstm,binary,missing,PSH Flag Cnt,5.0,0.9309492054518651,0.004406630345459174,20,0.0009853525004160095,0.002062366485442081,0.928886838966423,0.9330115719373072
cnn_lstm,binary,missing,PSH Flag Cnt,10.0,0.9315933344170579,0.0030863251214955103,20,0.0006901232772329258,0.0014444446197556075,0.9301488897973024,0.9330377790368135
cnn_lstm,binary,missing,PSH Flag Cnt,20.0,0.9295231330144519,0.004841878100370698,20,0.001082676857119643,0.0022660687051026004,0.9272570643093493,0.9317892017195545
cnn_lstm,binary,missing,PSH Flag Cnt,35.0,0.9295013027037372,0.004869681626979131,19,0.0011171815841694085,0.0023471114131329088,0.9271541912906043,0.9318484141168701
cnn_lstm,binary,missing,PSH Flag Cnt,50.0,0.9311806528851265,0.003419498087358704,20,0.0007646230172264576,0.0016003743676092344,0.9295802785175173,0.9327810272527357
cnn_lstm,binary,missing,PSH Flag Cnt,75.0,0.9275536087852239,0.005384235844274137,20,0.0012039517354687941,0.002519899942682815,0.925033708842541,0.9300735087279067
cnn_lstm,binary,missing,Protocol,5.0,0.9318139825307815,0.00383200131726548,20,0.0008568615435274352,0.0017934318219003538,0.9300205507088811,0.9336074143526819
cnn_lstm,binary,missing,Protocol,10.0,0.9306630403616774,0.005529524878094239,20,0.0012364393510694955,0.0025878973036054537,0.9280751430580719,0.9332509376652828
cnn_lstm,binary,missing,Protocol,20.0,0.9327475196784876,0.0041794457145984095,20,0.0009345524726112228,0.0019560408052820516,0.9307914788732056,0.9347035604837696
cnn_lstm,binary,missing,Protocol,35.0,0.9349188418273149,0.005169774980479676,20,0.0011559968284730203,0.002419529168813747,0.9324993126585012,0.9373383709961286
cnn_lstm,binary,missing,Protocol,50.0,0.9327282397210199,0.0061229810809031475,20,0.0013691401921844576,0.0028656433560992844,0.9298625963649206,0.9355938830771192
cnn_lstm,binary,missing,Protocol,75.0,0.9222910525122033,0.013997144309805892,20,0.003129856616760035,0.00655086518572776,0.9157401873264756,0.9288419176979311
cnn_lstm,binary,missing,Timestamp,5.0,0.9409563616810036,0.003498138991448991,20,0.0007822076579622499,0.001637179443657376,0.9393191822373462,0.942593541124661
cnn_lstm,binary,missing,Timestamp,10.0,0.9420109077172881,0.0056755380513419775,20,0.0012690888891687352,0.0026562335722124827,0.9393546741450757,0.9446671412895006
cnn_lstm,binary,missing,Timestamp,20.0,0.9437027788694172,0.003989888176214787,20,0.0008921661184638924,0.0018673251464730195,0.9418354537229442,0.9455701040158903
cnn_lstm,binary,missing,Timestamp,35.0,0.9429708188180929,0.007443811803399916,20,0.0016644869204117511,0.0034838111626698033,0.939487007655423,0.9464546299807627
cnn_lstm,binary,missing,Timestamp,50.0,0.9403045191054964,0.009984822926308212,20,0.0022326742806523534,0.004673040975064143,0.9356314781304322,0.9449775600805606
cnn_lstm,binary,missing,Timestamp,75.0,0.9420389262590314,0.006520372025244639,20,0.0014579995087034986,0.003051628043031919,0.9389872982159995,0.9450905543020633
cnn_lstm,binary,noise,Bwd Byts_b Avg,5.0,0.931472338223544,0.0033484347137411868,20,0.0007487327638145342,0.001567115684987435,0.9299052225385566,0.9330394539085315
cnn_lstm,binary,noise,Bwd Byts_b Avg,10.0,0.9322641833758949,0.0029393208673037462,20,0.0006572521266974815,0.0013756445109888462,0.9308885388649061,0.9336398278868837
cnn_lstm,binary,noise,Bwd Byts_b Avg,20.0,0.9314796178781043,0.003403506208368675,20,0.000761047124375492,0.0015928899378561767,0.9298867279402481,0.9330725078159605
cnn_lstm,binary,noise,Bwd Byts_b Avg,35.0,0.9317694659498577,0.0029596966960346964,20,0.0006618083005115113,0.0013851806923776758,0.93038428525748,0.9331546466422354
cnn_lstm,binary,noise,Bwd Byts_b Avg,50.0,0.9314831851407328,0.0035810146194546408,20,0.0008007392117521117,0.001675966431505118,0.9298072187092277,0.9331591515722379
cnn_lstm,binary,noise,Bwd Byts_b Avg,75.0,0.9332965210685382,0.004155637789050827,20,0.000929228858618458,0.0019448983531388099,0.9313516227153994,0.935241419421677
cnn_lstm,binary,noise,Dst Port,5.0,0.9256869224445783,0.007278935890066654,20,0.0016276195454051974,0.0034066468599581947,0.9222802755846201,0.9290935693045365
cnn_lstm,binary,noise,Dst Port,10.0,0.9241478091137008,0.006823695229846664,20,0.0015258246391678192,0.0031935876725871235,0.9209542214411136,0.9273413967862879
cnn_lstm,binary,noise,Dst Port,20.0,0.9205268404792376,0.006289118401598685,20,0.001406289626451948,0.0029433980156288024,0.9175834424636088,0.9234702384948664
