model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
cnn_lstm,noise,Idle Mean,50.0,20,0.7373443625996885,0.7376461060484667,0.00030174344877814674,-9.776098892892437e-05,0.8983173370361328,False
cnn_lstm,noise,Idle Mean,75.0,20,0.7373443625996885,0.7403616907096028,0.0030173281099142857,0.0051875195663645905,0.20244979858398438,False
cnn_lstm,noise,Init Fwd Win Byts,5.0,20,0.7373443625996885,0.7388490065741702,0.0015046439744816897,0.001880592487056454,0.6215133666992188,False
cnn_lstm,noise,Init Fwd Win Byts,10.0,20,0.7373443625996885,0.7393199231010253,0.0019755605013368482,-0.003614411457628064,0.7011814117431641,False
cnn_lstm,noise,Init Fwd Win Byts,20.0,20,0.7373443625996885,0.7396700905904209,0.0023257279907323847,0.0004593879855531169,0.5705966949462891,False
cnn_lstm,noise,Init Fwd Win Byts,35.0,20,0.7373443625996885,0.7463405146821838,0.008996152082495323,0.007378931460515337,0.006389617919921875,True
cnn_lstm,noise,Init Fwd Win Byts,50.0,20,0.7373443625996885,0.7426795937967083,0.005335231197019841,-0.004452595021918432,0.8123550415039062,False
cnn_lstm,noise,Init Fwd Win Byts,75.0,20,0.7373443625996885,0.7212645167659912,-0.016079845833697315,-0.02034124646669163,0.006389617919921875,True
cnn_lstm,noise,PSH Flag Cnt,5.0,20,0.7373443625996885,0.7367310649137937,-0.0006132976858948536,-0.003891659682408388,0.47808713284033744,False
cnn_lstm,noise,PSH Flag Cnt,10.0,20,0.7373443625996885,0.7344764060934232,-0.0028679565062652568,-0.0016902722996774144,0.5502572060902096,False
cnn_lstm,noise,PSH Flag Cnt,20.0,20,0.7373443625996885,0.729359735560883,-0.007984627038805592,-0.009010713544587596,0.07311306386722158,False
cnn_lstm,noise,PSH Flag Cnt,35.0,20,0.7373443625996885,0.7362107693768337,-0.0011335932228547785,-0.0029879180704038997,0.3702195818880961,False
cnn_lstm,noise,PSH Flag Cnt,50.0,20,0.7373443625996885,0.735861479907475,-0.0014828826922135274,-0.0014274196834726583,0.6812960891900375,False
cnn_lstm,noise,PSH Flag Cnt,75.0,20,0.7373443625996885,0.7301255228391219,-0.007218839760566587,-0.00842750951347887,0.09293465271054127,False
cnn_lstm,noise,Protocol,5.0,20,0.7373443625996885,0.7366160196124767,-0.0007283429872117497,-0.0016683526436106432,0.601181013818558,False
cnn_lstm,noise,Protocol,10.0,20,0.7373443625996885,0.7340570126108359,-0.0032873499888526614,-0.00660119563846458,0.27892307181082354,False
cnn_lstm,noise,Protocol,20.0,20,0.7373443625996885,0.7382195060139056,0.0008751434142171832,-0.006704602364198809,0.6274160461163308,False
cnn_lstm,noise,Protocol,35.0,20,0.7373443625996885,0.7475092577400191,0.010164895140330643,0.007493442939715117,0.008028938002710003,True
cnn_lstm,noise,Protocol,50.0,20,0.7373443625996885,0.7443884824343472,0.007044119834658635,0.006506373212253463,0.03332485137761509,True
cnn_lstm,noise,Protocol,75.0,20,0.7373443625996885,0.7124047121556121,-0.024939650444076422,-0.019749669853556494,0.02508084098587283,True
cnn_lstm,noise,Timestamp,5.0,14,0.7373443625996885,0.774117192773498,0.036772830173809445,0.03619552976530399,0.000978706525317055,True
cnn_lstm,noise,Timestamp,10.0,14,0.7373443625996885,0.7657260774536789,0.028381714853990436,0.032480980410346735,0.000978706525317055,True
cnn_lstm,noise,Timestamp,20.0,14,0.7373443625996885,0.7863336779244784,0.048989315324789895,0.0482023123961924,0.000978706525317055,True
cnn_lstm,noise,Timestamp,35.0,14,0.7373443625996885,0.7630198569695623,0.02567549436987382,0.029297711863418556,0.0015191855658097234,True
cnn_lstm,noise,Timestamp,50.0,14,0.7373443625996885,0.7590800789375359,0.021735716337847433,0.01757429528580171,0.07352297257407742,False
cnn_lstm,noise,Timestamp,75.0,14,0.7373443625996885,0.7642654709209541,0.026921108321265597,0.029453306881238674,0.000978706525317055,True
cnn_lstm,outliers,Bwd Byts_b Avg,5.0,20,0.7373443625996885,0.7575660474313763,0.020221684831687903,0.012507236406826966,0.07311306386722158,False
cnn_lstm,outliers,Bwd Byts_b Avg,10.0,20,0.7373443625996885,0.7568024987943455,0.019458136194656972,0.014721925421888382,0.02508084098587283,True
cnn_lstm,outliers,Bwd Byts_b Avg,20.0,20,0.7373443625996885,0.757644119402206,0.0202997568025175,0.015940727774852274,0.016871369285917627,True
cnn_lstm,outliers,Bwd Byts_b Avg,35.0,20,0.7373443625996885,0.759220300876954,0.021875938277265528,0.01601884090895932,0.016871369285917627,True
cnn_lstm,outliers,Bwd Byts_b Avg,50.0,20,0.7373443625996885,0.7572845994773243,0.019940236877635797,0.016221445732836553,0.012366607551013901,True
cnn_lstm,outliers,Bwd Byts_b Avg,75.0,20,0.7373443625996885,0.7504435255127208,0.013099162913032258,0.013095100661491827,0.009989902455487807,True
cnn_lstm,outliers,Dst Port,5.0,20,0.7373443625996885,0.7292963110747774,-0.008048051524911115,-0.023697119912821207,0.04405403137207031,True
cnn_lstm,outliers,Dst Port,10.0,20,0.7373443625996885,0.688373935451279,-0.048970427148409545,-0.05868000902203936,1.33514404296875e-05,True
cnn_lstm,outliers,Dst Port,20.0,20,0.7373443625996885,0.6020971846329417,-0.13524717796674685,-0.13495863365114796,1.9073486328125e-06,True
cnn_lstm,outliers,Dst Port,35.0,20,0.7373443625996885,0.5826514630092616,-0.15469289959042687,-0.1411082518642182,3.814697265625e-06,True
cnn_lstm,outliers,Dst Port,50.0,20,0.7373443625996885,0.5551281357380097,-0.18221622686167882,-0.1802264444531824,1.9073486328125e-06,True
cnn_lstm,outliers,Dst Port,75.0,20,0.7373443625996885,0.5551554463988726,-0.18218891620081595,-0.1818708692881993,1.9073486328125e-06,True
cnn_lstm,outliers,Fwd Act Data Pkts,5.0,19,0.7373443625996885,0.7508163928762751,0.01347203027658661,0.011420348180462904,0.00945281982421875,True
cnn_lstm,outliers,Fwd Act Data Pkts,10.0,20,0.7373443625996885,0.7618571322713426,0.024512769671654056,0.020970996909273048,6.29425048828125e-05,True
cnn_lstm,outliers,Fwd Act Data Pkts,20.0,20,0.7373443625996885,0.7526596002750521,0.01531523767536358,0.01565753388549515,1.9073486328125e-06,True
cnn_lstm,outliers,Fwd Act Data Pkts,35.0,20,0.7373443625996885,0.7550920170733362,0.017747654473647623,0.01824968611100839,0.0031528472900390625,True
cnn_lstm,outliers,Fwd Act Data Pkts,50.0,20,0.7373443625996885,0.753673453682389,0.016329091082700475,0.018456703427777305,5.7220458984375e-06,True
cnn_lstm,outliers,Fwd Act Data Pkts,75.0,20,0.7373443625996885,0.7518815574269986,0.014537194827310085,0.01766741039578874,2.6702880859375e-05,True
cnn_lstm,outliers,Fwd Blk Rate Avg,5.0,20,0.7373443625996885,0.758124975280005,0.0207806126803165,0.014496593199709773,0.0365449527450718,True
cnn_lstm,outliers,Fwd Blk Rate Avg,10.0,20,0.7373443625996885,0.757644119402206,0.0202997568025175,0.012801767645262164,0.07929551941222376,False
cnn_lstm,outliers,Fwd Blk Rate Avg,20.0,20,0.7373443625996885,0.7568432774393907,0.019498914839702175,0.013340048783973596,0.03332485137761509,True
cnn_lstm,outliers,Fwd Blk Rate Avg,35.0,20,0.7373443625996885,0.757644119402206,0.0202997568025175,0.017161150651402744,0.012366607551013901,True
cnn_lstm,outliers,Fwd Blk Rate Avg,50.0,19,0.7373443625996885,0.7567655143576236,0.01942115175793513,0.016062363820702304,0.021788398469796938,True
cnn_lstm,outliers,Fwd Blk Rate Avg,75.0,20,0.7373443625996885,0.7502426975562595,0.012898334956571056,0.010638549141086811,0.05689299188125912,False
cnn_lstm,outliers,Fwd Seg Size Min,5.0,20,0.7373443625996885,0.749736416671053,0.012392054071364511,0.010418785699083088,0.005729764736498867,True
cnn_lstm,outliers,Fwd Seg Size Min,10.0,20,0.7373443625996885,0.7463358924071535,0.008991529807464926,0.0076043428224127855,0.16714705875429758,False
cnn_lstm,outliers,Fwd Seg Size Min,20.0,20,0.7373443625996885,0.7543758332032744,0.017031470603585896,0.02192467601985784,0.0035889055532021094,True
cnn_lstm,outliers,Fwd Seg Size Min,35.0,20,0.7373443625996885,0.7504133480739981,0.013068985474309514,0.017024887877193022,0.0035889055532021094,True
cnn_lstm,outliers,Fwd Seg Size Min,50.0,20,0.7373443625996885,0.7447115900236261,0.0073672274239375835,0.010377751423094411,0.02275690685955615,True
