model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,outliers,Fwd Blk Rate Avg,50.0,19,0.0,0.0018755743217200773,0.49896229860376107,False
cnn_lstm,outliers,Fwd Blk Rate Avg,75.0,20,-0.0027059599161012304,-0.0038580440586229612,0.4114239954629041,False
cnn_lstm,outliers,Fwd Seg Size Min,10.0,20,-0.007165805331656228,-0.0028144428766703035,0.3134209087922204,False
cnn_lstm,outliers,Fwd Seg Size Min,20.0,20,-0.0040647722709102885,0.011505890320774754,0.43300821232079933,False
cnn_lstm,outliers,Fwd Seg Size Min,35.0,20,-0.001469980324717346,0.006606102178109935,0.9702171637980858,False
cnn_lstm,outliers,Fwd Seg Size Min,50.0,20,-0.005461515077279211,-4.103427598867726e-05,0.6274160461163308,False
cnn_lstm,outliers,Fwd Seg Size Min,75.0,20,-0.02073806372652237,-0.020386778170687313,0.03332485137761509,True
cnn_lstm,outliers,Idle Mean,10.0,20,-0.00859594484879811,-0.00523740517362768,0.14290618896484375,False
cnn_lstm,outliers,Idle Mean,20.0,20,-0.00023365088287990998,0.000743701947582448,0.8694877624511719,False
cnn_lstm,outliers,Idle Mean,35.0,20,0.0020644262983378625,0.0010663163567835366,0.7011814117431641,False
cnn_lstm,outliers,Idle Mean,50.0,20,0.0010985870399207731,-0.004243145223769634,0.8408222198486328,False
cnn_lstm,outliers,Idle Mean,75.0,20,-0.001763097389345658,-0.0006145433066143735,0.7011814117431641,False
cnn_lstm,outliers,Init Fwd Win Byts,10.0,20,-0.003776263633141541,-0.005082911594010286,0.34881019592285156,False
cnn_lstm,outliers,Init Fwd Win Byts,20.0,20,-0.0045480913518028965,0.0014567268373039566,0.7285060882568359,False
cnn_lstm,outliers,Init Fwd Win Byts,35.0,20,-0.041251008222353336,-0.04756878464869401,0.000133514404296875,True
cnn_lstm,outliers,Init Fwd Win Byts,50.0,20,-0.02673056819600239,-0.026257467614088426,0.0019855499267578125,True
cnn_lstm,outliers,Init Fwd Win Byts,75.0,20,-0.05959053571108752,-0.058002312099988476,0.001209259033203125,True
cnn_lstm,outliers,PSH Flag Cnt,10.0,20,0.00534858495609164,0.005980004667718974,0.26109886169433594,False
cnn_lstm,outliers,PSH Flag Cnt,20.0,19,-0.005466957504935421,3.36344916102425e-05,0.7380905151367188,False
cnn_lstm,outliers,PSH Flag Cnt,35.0,20,-0.0025613676758179937,-0.010513824108067577,0.5458755493164062,False
cnn_lstm,outliers,PSH Flag Cnt,50.0,20,-0.002842977288966486,-0.014349205101547385,0.09730720520019531,False
cnn_lstm,outliers,PSH Flag Cnt,75.0,20,-0.008337237310198697,-0.01440841285115232,0.023950576782226562,True
cnn_lstm,outliers,Protocol,10.0,20,0.006158497470089286,-0.0009167029010128891,0.8812824436000936,False
cnn_lstm,outliers,Protocol,20.0,20,0.0052175570228076285,0.0012685720017632407,0.8812824436000936,False
cnn_lstm,outliers,Protocol,35.0,20,0.008845133400521343,0.0033635354605782543,0.2471034270088711,False
cnn_lstm,outliers,Protocol,50.0,20,0.0134252593468549,0.011569091585233532,0.027607480195292144,True
cnn_lstm,outliers,Protocol,75.0,20,-0.002817529886591952,0.0023069092815912796,0.8227452173339953,False
cnn_lstm,outliers,Timestamp,10.0,20,0.022372023795613538,0.030679381650294872,0.0004825592041015625,True
cnn_lstm,outliers,Timestamp,20.0,20,0.04138577857670461,0.043861850112429296,5.7220458984375e-06,True
cnn_lstm,outliers,Timestamp,35.0,20,0.06579102527554204,0.07258634957674329,1.9073486328125e-06,True
cnn_lstm,outliers,Timestamp,50.0,20,0.10805086738372555,0.1096224885258579,1.9073486328125e-06,True
cnn_lstm,outliers,Timestamp,75.0,20,0.10569595337908388,0.10163231086973101,1.9073486328125e-06,True
tabnet,duplicated,Timestamp,10.0,20,0.0023679716276323592,0.001932721906630941,0.3134209087922204,False
tabnet,duplicated,Timestamp,20.0,20,-0.0003582757801163239,0.0005094848746513891,0.7651785898104478,False
tabnet,duplicated,Timestamp,35.0,20,-0.0021565548342589724,-0.006037777018834972,0.27892307181082354,False
tabnet,duplicated,Timestamp,50.0,20,0.0032364674216195932,0.0021598584783633578,0.19129516096102428,False
tabnet,duplicated,Timestamp,75.0,20,0.0025310624296647766,0.0031507113215559156,0.06193006701281811,False
tabnet,labels,Label,10.0,20,0.002085966712593368,-0.0006189959716183191,0.47490501403808594,False
tabnet,labels,Label,20.0,20,0.001110681971093208,-0.0021331396251952905,0.8983173370361328,False
tabnet,labels,Label,35.0,20,-0.000591773799448192,0.0003815646581792176,0.9272785186767578,False
tabnet,labels,Label,50.0,20,0.00033177153415103744,-0.0010353973578696662,0.5705966949462891,False
tabnet,labels,Label,75.0,20,0.0003127760729057516,0.0012890401367628979,0.6215133666992188,False
tabnet,labels,Protocol,10.0,20,0.0026276619602015328,-0.00012732054703297745,0.601181013818558,False
tabnet,labels,Protocol,20.0,20,-0.00016310638929095678,-0.001382995356930794,0.5502572060902096,False
tabnet,labels,Protocol,35.0,20,-0.0017453906260578855,-0.001877956825974625,0.16714705875429758,False
tabnet,labels,Protocol,50.0,20,-0.0042197816317616765,-0.0018091167797905094,0.19129516096102428,False
tabnet,labels,Protocol,75.0,20,-0.004213317351022372,-0.005523135486002184,0.016871369285917627,True
tabnet,labels,label_generic,10.0,20,0.0029923838427248217,0.001557661913779873,0.40909767150878906,False
tabnet,labels,label_generic,20.0,20,-0.0011976326122158376,-0.0017531047779907882,0.2773551940917969,False
tabnet,labels,label_generic,35.0,20,-0.006939027555457222,-0.00936109855832376,0.0004825592041015625,True
tabnet,labels,label_generic,50.0,20,-0.966007195297879,-0.9490399003391519,1.9073486328125e-06,True
tabnet,labels,label_generic,75.0,20,-1.6628600813996774,-1.6352508239466688,1.9073486328125e-06,True
tabnet,missing,Bwd Byts_b Avg,10.0,20,0.0,0.0,,False
tabnet,missing,Bwd Byts_b Avg,20.0,20,0.0,0.0,,False
tabnet,missing,Bwd Byts_b Avg,35.0,20,0.0,0.0,,False
tabnet,missing,Bwd Byts_b Avg,50.0,20,0.0,0.0,,False
tabnet,missing,Bwd Byts_b Avg,75.0,20,0.0,0.0,,False
tabnet,missing,Dst Port,10.0,20,-0.008342068932930324,-0.016359191710991546,0.06733069932137338,False
tabnet,missing,Dst Port,20.0,20,-0.010875298992738258,-0.03179673655500129,0.06193006701281811,False
tabnet,missing,Dst Port,35.0,20,-0.08278240127504594,-0.09771864014423563,0.000389773883251227,True
