model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
tabnet,noise,Down_Up Ratio,5.0,5,0.010736820364735888,-5.3505331826642075e-05,1.0,False
tabnet,noise,Down_Up Ratio,10.0,5,7.72008085170306e-06,-0.004518577467387863,0.5625,False
tabnet,noise,Down_Up Ratio,20.0,5,-0.002210264127241901,0.0032431262295050224,0.75,False
tabnet,noise,Down_Up Ratio,30.0,5,-0.005473149917953335,0.0017997778119652752,0.75,False
tabnet,noise,Down_Up Ratio,50.0,4,-0.007390650164202428,0.0016433796750523755,1.0,False
tabnet,noise,Down_Up Ratio,75.0,4,0.02114539219524908,0.018248190803603764,0.375,False
tabnet,noise,FIN Flag Cnt,5.0,5,0.013290274888569154,0.002745683491134554,0.25,False
tabnet,noise,FIN Flag Cnt,10.0,5,0.02149175320871677,0.027412203296731018,0.0625,False
tabnet,noise,FIN Flag Cnt,20.0,5,0.0018758281239241725,-0.006783380027848063,0.625,False
tabnet,noise,FIN Flag Cnt,30.0,5,0.01689553746549355,0.02067194257680649,0.0625,False
tabnet,noise,FIN Flag Cnt,50.0,4,-0.006437278065314911,-0.009239174267449496,0.125,False
tabnet,noise,FIN Flag Cnt,75.0,4,0.012980821907242923,0.010178925705108338,0.125,False
tabnet,noise,Protocol,5.0,5,-0.010719425551325323,-0.035503897299337006,0.0625,False
tabnet,noise,Protocol,10.0,5,0.018129510273068195,0.009227150803436257,0.25,False
tabnet,noise,Protocol,20.0,5,-0.01984768398040293,-0.017741472813421845,0.0625,False
tabnet,noise,Protocol,30.0,5,-0.03208382537136201,-0.028366831574214,0.0625,False
tabnet,noise,Protocol,50.0,4,0.03103835241096431,0.035649668858039774,0.125,False
tabnet,noise,Protocol,75.0,4,0.020545718197315543,0.025157034644391008,0.125,False
tabnet,noise,Timestamp,5.0,5,-0.04711589516842496,-0.04711589516842496,0.0625,False
tabnet,noise,Timestamp,10.0,5,-0.05042478826176622,-0.05042478826176622,0.0625,False
tabnet,noise,Timestamp,20.0,5,-0.061400837145022535,-0.061400837145022535,0.0625,False
tabnet,noise,Timestamp,30.0,5,-0.06319890425327823,-0.06319890425327823,0.0625,False
tabnet,noise,Timestamp,50.0,4,-0.050712013224913366,-0.050712013224913366,0.125,False
tabnet,noise,Timestamp,75.0,4,-0.11926385525235517,-0.11926385525235517,0.125,False
tabnet,outliers,Down_Up Ratio,5.0,5,-0.007456307201485601,-0.003946149906633089,0.4375,False
tabnet,outliers,Down_Up Ratio,10.0,5,-0.029224792668918642,-0.02095407590912115,0.125,False
tabnet,outliers,Down_Up Ratio,20.0,5,-0.027624141223215326,-0.018533832983216692,0.125,False
