model,method,feature,noise_percentage,n,tn_mean,tn_ci,tn_delta,fp_mean,fp_ci,fp_delta,fn_mean,fn_ci,fn_delta,tp_mean,tp_ci,tp_delta,mcc_mean,mcc_ci,mcc_delta
tabnet,outliers,Down_Up Ratio,50.0,4,217632.5,1309.129953227981,-1158.5,5562.5,1309.129953227981,1158.5,3271.5,296.58993837659665,-294.5,42744.5,296.58993837659665,294.5,0.8869203934142753,0.018622233694322435,-0.009427844860641521
tabnet,outliers,Down_Up Ratio,75.0,4,218664.0,765.8529097118052,-127.0,4531.0,765.8529097118052,127.0,3454.25,568.3605794504713,-111.75,42561.75,568.3605794504713,111.75,0.8964364377862758,0.0050986448161141045,8.81995113589662e-05
tabnet,outliers,FIN Flag Cnt,1.0,5,217822.6,1410.501227485222,-968.3999999999942,5350.0,1448.5861208020847,946.0,3576.6,123.09581589914427,10.599999999999909,42461.8,161.18070921600656,11.80000000000291,0.8852120558531167,0.018819119285244136,-0.011136182421800145
tabnet,outliers,FIN Flag Cnt,5.0,5,217887.4,544.7499919072628,-903.6000000000058,5285.2,582.8348852241251,881.1999999999998,3746.8,916.0777017466703,180.80000000000018,42291.6,877.992808429808,-158.40000000000146,0.8834436769083467,0.006032256483314846,-0.012904561366570144
tabnet,outliers,FIN Flag Cnt,10.0,5,217504.8,879.3529831911244,-1286.2000000000116,5667.8,841.2680898742623,1263.8000000000002,3760.8,529.1079821521229,194.80000000000018,42277.6,567.1928754689852,-172.40000000000146,0.878821066614114,0.002114926709680433,-0.017527171660802865
tabnet,outliers,FIN Flag Cnt,20.0,5,221042.6,3135.8829122152165,2251.600000000006,2130.0,3097.7980188983547,-2274.0,3687.6,473.3408169381459,121.59999999999991,42350.8,511.4257102550082,-99.19999999999709,0.9240469726160361,0.032762598957853814,0.027698734341119247
tabnet,outliers,FIN Flag Cnt,30.0,5,220220.4,1971.5733165282832,1429.3999999999942,2952.2,1933.4884232114211,-1451.8000000000002,3837.8,66.64856330450905,271.8000000000002,42200.6,104.73345662137137,-249.40000000000146,0.9108077545015314,0.023109578576436734,0.014459516226614566
tabnet,outliers,FIN Flag Cnt,50.0,4,217079.0,0.0,-1712.0,6116.0,0.0,1712.0,3270.0,0.0,-296.0,42746.0,0.0,296.0,0.8805184018326934,0.0,-0.015829836442223466
tabnet,outliers,FIN Flag Cnt,75.0,4,218308.0,0.0,-483.0,4887.0,0.0,483.0,3223.0,0.0,-343.0,42793.0,0.0,343.0,0.8954214658760581,0.0,-0.000926772398858744
tabnet,outliers,Protocol,1.0,5,217079.6,24.483145703697204,-1711.3999999999942,6093.0,13.601747613165113,1689.0,3295.8,8.841135948557323,-270.1999999999998,42742.6,46.92602926541965,292.59999999999854,0.8804578570713447,0.0003556505437076714,-0.015890381203572113
tabnet,outliers,Protocol,5.0,5,217841.2,3164.4465822028633,-949.7999999999884,5331.4,3202.531475519726,927.3999999999996,6279.4,5322.363841031509,2713.3999999999996,39759.0,5284.278947714647,-2691.0,0.8481380762549279,0.03704365245571439,-0.048210162019988956
tabnet,outliers,Protocol,10.0,5,217662.4,101.3330197180801,-1128.6000000000058,5510.2,63.24812640121778,1106.1999999999998,3562.6,213.54743752669225,-3.400000000000091,42475.8,175.46254420982996,25.80000000000291,0.8833784870344745,0.003684591138309338,-0.012969751240442307
tabnet,outliers,Protocol,20.0,5,218441.4,213.5474375266923,-349.6000000000058,4731.2,175.46254420982996,327.1999999999998,3726.6,645.4029242446846,160.5999999999999,42311.8,607.3180309278223,-138.1999999999971,0.8902117392606204,0.011109190655993027,-0.00613649901429647
tabnet,outliers,Protocol,30.0,5,220500.8,2035.501530310159,1709.7999999999884,2671.8,1997.416636993297,-1732.1999999999998,8352.2,4054.68096348452,4786.200000000001,37686.2,4092.7658568013826,-4763.800000000003,0.8514423123022826,0.031323525682422595,-0.04490592597263421
tabnet,outliers,Protocol,50.0,4,212574.0,0.0,-6217.0,10621.0,0.0,6217.0,2934.0,0.0,-632.0,43082.0,0.0,632.0,0.8371399864912782,0.0,-0.059208251783638643
tabnet,outliers,Protocol,75.0,4,220589.0,0.0,1798.0,2606.0,0.0,-1798.0,9968.0,0.0,6402.0,36048.0,0.0,-6402.0,0.828439746662157,0.0,-0.0679084916127598
tabnet,outliers,Timestamp,1.0,5,217708.4,728.960725094793,-1082.6000000000058,5486.6,728.960725094793,1082.6000000000004,3461.6,661.3947972165425,-104.40000000000009,42554.4,661.3947972165425,104.40000000000146,0.8850890970051477,0.009292963482340969,-0.011259141269769124
tabnet,outliers,Timestamp,5.0,5,218540.8,2262.2987542694377,-250.20000000001164,4654.2,2262.2987542694377,250.19999999999982,3729.8,1076.2814873142488,163.80000000000018,42286.2,1076.2814873142486,-163.8000000000029,0.8916871452300599,0.013334881580237816,-0.0046610930448569565
tabnet,outliers,Timestamp,10.0,5,219714.8,3148.043899043571,923.7999999999884,3480.2,3148.0438990435714,-923.8000000000002,3375.6,384.344249606101,-190.4000000000001,42640.4,384.344249606101,190.40000000000146,0.91112201190805,0.04322034474079574,0.014773773633133147
tabnet,outliers,Timestamp,20.0,5,218018.4,610.4320015611603,-772.6000000000058,5176.6,610.4320015611603,772.6000000000004,3513.8,284.43782384884906,-52.19999999999982,42502.2,284.4378238488491,52.19999999999709,0.8879592827620568,0.004324390467064564,-0.008388955512860008
tabnet,outliers,Timestamp,30.0,5,218005.6,3032.4960306106555,-785.3999999999942,5189.4,3032.4960306106555,785.3999999999996,3180.6,297.19585094244627,-385.4000000000001,42835.4,297.1958509424462,385.40000000000146,0.8932960482983721,0.035055543253046946,-0.0030521899765447724
tabnet,outliers,Timestamp,50.0,4,219087.0,3673.923261841638,296.0,4108.0,3673.923261841638,-296.0,4476.0,3832.4857657021107,910.0,41540.0,3832.4857657021107,-910.0,0.887470255345109,0.08361009297434964,-0.008877982929807793
tabnet,outliers,Timestamp,75.0,4,217970.75,4495.076768766466,-820.25,5224.25,4495.076768766466,820.25,3533.5,825.7906494947773,-32.5,42482.5,825.7906494947773,32.5,0.8882173760509129,0.043553992925845074,-0.008130862224003943
