model,method,feature,noise_percentage,n,tn_mean,tn_ci,tn_delta,fp_mean,fp_ci,fp_delta,fn_mean,fn_ci,fn_delta,tp_mean,tp_ci,tp_delta,mcc_mean,mcc_ci,mcc_delta
tabnet,noise,Down_Up Ratio,1.0,5,218195.6,365.8155820059472,-595.3999999999942,4999.4,365.8155820059472,595.3999999999996,3116.0,210.18991437740203,-450.0,42900.0,210.18991437740203,450.0,0.8956159474858773,0.004667221482682667,-0.0007322907890395802
tabnet,noise,Down_Up Ratio,5.0,5,220029.0,2811.9925941768147,1238.0,3166.0,2811.9925941768147,-1238.0,4767.6,4071.1784942381646,1201.6000000000004,41248.4,4071.1784942381646,-1201.5999999999985,0.8955624421540508,0.050373100129532965,-0.0007857961208660447
tabnet,noise,Down_Up Ratio,10.0,5,217855.8,1348.8156063835183,-935.2000000000116,5339.2,1348.8156063835183,935.1999999999998,3165.8,217.73136720004237,-400.1999999999998,42850.2,217.73136720004237,400.1999999999971,0.8910973700184895,0.013273849511137326,-0.005250868256427288
tabnet,noise,Down_Up Ratio,20.0,5,219001.2,2646.99255039513,210.20000000001164,4193.8,2646.99255039513,-210.19999999999982,3626.6,819.5756510271707,60.59999999999991,42389.4,819.5756510271705,-60.599999999998545,0.8988590737153824,0.02336472381763352,0.0025108354404655975
tabnet,noise,Down_Up Ratio,30.0,5,218695.2,2243.557727223174,-95.79999999998836,4499.8,2243.557727223174,95.80000000000018,3439.6,254.38147031489174,-126.40000000000009,42576.4,254.38147031489174,126.40000000000146,0.8974157252978425,0.029926685834377333,0.001067487022925695
tabnet,noise,Down_Up Ratio,50.0,4,218642.25,4537.438852852968,-148.75,4552.75,4537.438852852968,148.75,3495.5,838.1104920669459,-70.5,42520.5,838.1104920669459,70.5,0.8968208541254152,0.04475406942440546,0.0004726158504984035
tabnet,noise,Down_Up Ratio,75.0,4,219849.0,3152.284419273919,1058.0,3346.0,3152.284419273919,-1058.0,3301.75,593.4023308509585,-264.25,42714.25,593.4023308509585,264.25,0.9134256652539666,0.041161203578588886,0.017077426979049792
tabnet,noise,FIN Flag Cnt,1.0,5,217606.2,1222.7971104235437,-1184.7999999999884,5588.8,1222.7971104235437,1184.8000000000002,3672.4,469.9403800348547,106.40000000000009,42343.6,469.9403800348547,-106.40000000000146,0.8810264915134622,0.007622136995944097,-0.015321746761454591
tabnet,noise,FIN Flag Cnt,5.0,5,217141.4,1012.6501098001427,-1649.6000000000058,6053.6,1012.6501098001427,1649.6000000000004,3097.2,82.9706604403072,-468.8000000000002,42918.8,82.9706604403072,468.8000000000029,0.8837721750045967,0.010305971863038084,-0.012576063270320126
tabnet,noise,FIN Flag Cnt,10.0,5,219330.6,1590.7243833596601,539.6000000000058,3864.4,1590.7243833596601,-539.5999999999999,3184.8,127.17634018309381,-381.1999999999998,42831.2,127.17634018309381,381.1999999999971,0.9084386948101931,0.017688195477632975,0.012090456535276295
tabnet,noise,FIN Flag Cnt,20.0,5,216554.8,862.3507986746682,-2236.2000000000116,6640.2,862.350798674668,2236.2,3299.2,178.182893732463,-266.8000000000002,42716.8,178.182893732463,266.8000000000029,0.8742431114856141,0.007100408480339389,-0.022105126789302765
tabnet,noise,FIN Flag Cnt,30.0,5,218694.0,1431.583936285628,-97.0,4501.0,1431.583936285628,97.0,3116.2,223.06866085590784,-449.8000000000002,42899.8,223.06866085590786,449.8000000000029,0.9016984340902688,0.014042850647087263,0.00535019581535201
tabnet,noise,FIN Flag Cnt,50.0,4,217275.0,0.0,-1516.0,5920.0,0.0,1516.0,4159.0,0.0,593.0,41857.0,0.0,-593.0,0.8701061795247319,0.0,-0.026242058750184927
tabnet,noise,FIN Flag Cnt,75.0,4,217770.0,0.0,-1021.0,5425.0,0.0,1021.0,3195.0,0.0,-371.0,42821.0,0.0,371.0,0.8895242794972897,0.0,-0.006823958777627093
tabnet,noise,Protocol,1.0,5,219911.0,2580.9316095980803,1120.0,3284.0,2580.9316095980803,-1120.0,4718.4,1393.499042968766,1152.3999999999996,41297.6,1393.499042968766,-1152.4000000000015,0.894855212014798,0.012544392495511545,-0.0014930262601188238
