model,task,method,feature,noise_percentage,mean,std,n,sem,ci_half,ci_low,ci_high
cnn_lstm,binary,missing,Timestamp,1.0,0.9315822714269792,0.0004273200470932114,5,0.0001911033346897664,0.0005305879181863776,0.9310516835087929,0.9321128593451656
cnn_lstm,binary,missing,Timestamp,5.0,0.9408329308615373,0.006735377885136163,5,0.003012152561062646,0.00836307623427138,0.932469854627266,0.9491960070958086
cnn_lstm,binary,missing,Timestamp,10.0,0.9389456477319167,0.0025232231352171563,5,0.001128419690549141,0.003132995326433971,0.9358126524054827,0.9420786430583507
cnn_lstm,binary,missing,Timestamp,20.0,0.9481368651781402,0.0,5,0.0,0.0,0.9481368651781402,0.9481368651781402
cnn_lstm,binary,missing,Timestamp,30.0,0.9338336367351487,0.0,5,0.0,0.0,0.9338336367351487,0.9338336367351487
cnn_lstm,binary,missing,Timestamp,50.0,0.9259575732808263,0.0,4,0.0,0.0,0.9259575732808263,0.9259575732808263
cnn_lstm,binary,missing,Timestamp,75.0,0.9407809191217447,0.0,4,0.0,0.0,0.9407809191217447,0.9407809191217447
cnn_lstm,binary,noise,Down_Up Ratio,1.0,0.9275104952260653,0.00242842416492057,5,0.001086024302193111,0.003015286857949912,0.9244952083681154,0.9305257820840153
cnn_lstm,binary,noise,Down_Up Ratio,5.0,0.9264331091875023,0.0024134586480695696,5,0.0010793315195936598,0.0029967047144615127,0.9234364044730408,0.9294298139019639
cnn_lstm,binary,noise,Down_Up Ratio,10.0,0.926366236950626,0.0011167023342266188,5,0.0004994044659926819,0.0013865690851192995,0.9249796678655068,0.9277528060357453
cnn_lstm,binary,noise,Down_Up Ratio,20.0,0.9269606568339711,0.0027948749270244287,5,0.0012499060650872772,0.0034702955763686056,0.9234903612576025,0.9304309524103397
cnn_lstm,binary,noise,Down_Up Ratio,30.0,0.9258907010439499,0.0014686257938583173,5,0.0006567894217153581,0.0018235397750672954,0.9240671612688826,0.9277142408190172
cnn_lstm,binary,noise,Down_Up Ratio,50.0,0.9275736523386707,0.0016263307459253877,4,0.0008131653729626938,0.0025878551367697735,0.924985797201901,0.9301615074754405
cnn_lstm,binary,noise,Down_Up Ratio,75.0,0.9211557751606791,0.006187094910057157,4,0.0030935474550285785,0.009845048668475517,0.9113107264922037,0.9310008238291546
cnn_lstm,binary,noise,FIN Flag Cnt,1.0,0.9247092915258015,0.0006308057838042586,5,0.00028210492263727163,0.000783248831608455,0.9239260426941931,0.9254925403574099
cnn_lstm,binary,noise,FIN Flag Cnt,5.0,0.9288702307092173,0.0037441375554835613,5,0.0016744292182342265,0.004648960806966586,0.9242212699022506,0.9335191915161839
cnn_lstm,binary,noise,FIN Flag Cnt,10.0,0.9216405988780325,0.005758646348923039,5,0.0025753449389145774,0.007150303849845289,0.9144902950281872,0.9287909027278778
cnn_lstm,binary,noise,FIN Flag Cnt,20.0,0.9287439164840064,0.0005087143417776789,5,0.00022750396986879025,0.000631652283555269,0.9281122642004512,0.9293755687675617
cnn_lstm,binary,noise,FIN Flag Cnt,30.0,0.9254820373741502,0.0022993888248349923,5,0.0010283179438068798,0.002855068321669671,0.9226269690524805,0.92833710569582
cnn_lstm,binary,noise,FIN Flag Cnt,50.0,0.9213136679421927,0.0,4,0.0,0.0,0.9213136679421927,0.9213136679421927
cnn_lstm,binary,noise,FIN Flag Cnt,75.0,0.926366236950626,0.0,4,0.0,0.0,0.926366236950626,0.926366236950626
cnn_lstm,binary,noise,Protocol,1.0,0.8990229223167514,0.040290175868790336,5,0.018018314413607368,0.050026860857575024,0.8489960614591764,0.9490497831743264
cnn_lstm,binary,noise,Protocol,5.0,0.8963554630902404,0.045418016433909116,5,0.020311554429884672,0.056393915875811856,0.8399615472144285,0.9527493789660523
cnn_lstm,binary,noise,Protocol,10.0,0.8927295018018352,0.047229039490637545,5,0.021121468562617516,0.05864259800526848,0.8340869037965667,0.9513720998071037
cnn_lstm,binary,noise,Protocol,20.0,0.8925214548426645,0.05056620557269895,5,0.022613894604956705,0.06278623698539083,0.8297352178572737,0.9553076918280554
cnn_lstm,binary,noise,Protocol,30.0,0.8880633057175762,0.05321152014994275,5,0.023796915248274358,0.06607082885987807,0.8219924768576982,0.9541341345774542
cnn_lstm,binary,noise,Protocol,50.0,0.9267749006204258,0.0,4,0.0,0.0,0.9267749006204258,0.9267749006204258
cnn_lstm,binary,noise,Protocol,75.0,0.9292268826392243,0.0,4,0.0,0.0,0.9292268826392243,0.9292268826392243
cnn_lstm,binary,noise,Timestamp,1.0,0.9312702009882232,1.2412670766236366e-16,5,5.551115123125783e-17,1.5412366411992026e-16,0.9312702009882231,0.9312702009882233
cnn_lstm,binary,noise,Timestamp,5.0,0.9362113162685292,0.0,5,0.0,0.0,0.9362113162685292,0.9362113162685292
cnn_lstm,binary,noise,Timestamp,10.0,0.9440502284801425,1.2412670766236366e-16,5,5.551115123125783e-17,1.5412366411992026e-16,0.9440502284801424,0.9440502284801426
cnn_lstm,binary,noise,Timestamp,20.0,0.9506259984396477,1.2412670766236366e-16,5,5.551115123125783e-17,1.5412366411992026e-16,0.9506259984396476,0.9506259984396478
