model,method,feature,noise_percentage,n,baseline,median_value,median_delta,mean_delta,p_value,significant
tabnet,missing,FIN Flag Cnt,30.0,5,0.8963482382749168,0.8934389950555404,-0.0029092432193764672,0.01688970231674234,0.625,False
tabnet,missing,FIN Flag Cnt,50.0,4,0.8963482382749168,0.8701061795247319,-0.026242058750184927,-0.026242058750184927,0.125,False
tabnet,missing,FIN Flag Cnt,75.0,4,0.8963482382749168,0.8895242794972897,-0.006823958777627093,-0.006823958777627093,0.125,False
tabnet,missing,Protocol,1.0,5,0.8963482382749168,0.9022333183301187,0.00588508005520183,-0.0029398845532352834,0.625,False
tabnet,missing,Protocol,5.0,5,0.8963482382749168,0.8915138927787933,-0.004834345496123493,-0.004168018017108555,0.0625,False
tabnet,missing,Protocol,10.0,5,0.8963482382749168,0.9203628286031869,0.024014590328270025,0.0037291163136416116,0.625,False
tabnet,missing,Protocol,20.0,5,0.8963482382749168,0.8823856343497157,-0.0139626039252011,-0.033398906982316554,0.0625,False
tabnet,missing,Protocol,30.0,5,0.8963482382749168,0.8701494929587567,-0.026198745316160177,-0.025554640775684388,0.0625,False
tabnet,missing,Protocol,50.0,4,0.8963482382749168,0.933271670741083,0.03692343246616614,0.03692343246616614,0.125,False
tabnet,missing,Protocol,75.0,4,0.8963482382749168,0.9227790365274342,0.026430798252517373,0.026430798252517373,0.125,False
tabnet,missing,Timestamp,1.0,5,0.8963482382749168,0.938775020967574,0.042426782692657206,0.016927263823819504,0.25,False
tabnet,missing,Timestamp,5.0,5,0.8963482382749168,0.8878432435063396,-0.008504994768577245,-0.004560554466373978,0.25,False
tabnet,missing,Timestamp,10.0,5,0.8963482382749168,0.8962275242799372,-0.00012071399497959323,-0.01072896221538453,0.0625,False
tabnet,missing,Timestamp,20.0,5,0.8963482382749168,0.8843071707767614,-0.012041067498155478,-0.012041067498155478,0.0625,False
tabnet,missing,Timestamp,30.0,5,0.8963482382749168,0.932866859559531,0.03651862128461414,0.03651862128461414,0.0625,False
tabnet,missing,Timestamp,50.0,4,0.8963482382749168,0.8766619354703654,-0.019686302804551414,-0.019686302804551414,0.125,False
tabnet,missing,Timestamp,75.0,4,0.8963482382749168,0.885186950431019,-0.011161287843897805,-0.011161287843897805,0.125,False
tabnet,noise,Down_Up Ratio,1.0,5,0.8963482382749168,0.8973698396279355,0.001021601353018653,-0.0007322907890394692,1.0,False
tabnet,noise,Down_Up Ratio,5.0,5,0.8963482382749168,0.9001555058619314,0.003807267587014551,-0.0007857961208661112,1.0,False
tabnet,noise,Down_Up Ratio,10.0,5,0.8963482382749168,0.8955322854111095,-0.0008159528638073121,-0.005250868256427332,0.625,False
tabnet,noise,Down_Up Ratio,20.0,5,0.8963482382749168,0.8955229225697541,-0.0008253157051627547,0.0025108354404655532,0.75,False
tabnet,noise,Down_Up Ratio,30.0,5,0.8963482382749168,0.8911095047288652,-0.005238733546051644,0.001067487022925806,0.5625,False
tabnet,noise,Down_Up Ratio,50.0,4,0.8963482382749168,0.8868201051325005,-0.009528133142416295,0.00047261585049837573,0.875,False
tabnet,noise,Down_Up Ratio,75.0,4,0.8963482382749168,0.9145396547578146,0.018191416482897738,0.017077426979049765,0.375,False
tabnet,noise,FIN Flag Cnt,1.0,5,0.8963482382749168,0.8765434575900468,-0.019804780684870016,-0.01532174676145468,0.0625,False
tabnet,noise,FIN Flag Cnt,5.0,5,0.8963482382749168,0.889833732478616,-0.006514505796300862,-0.012576063270320126,0.0625,False
tabnet,noise,FIN Flag Cnt,10.0,5,0.8963482382749168,0.8980352107987636,0.0016869725238467526,0.01209045653527634,0.0625,False
tabnet,noise,FIN Flag Cnt,20.0,5,0.8963482382749168,0.878419285713971,-0.017928952560945843,-0.022105126789302744,0.0625,False
tabnet,noise,FIN Flag Cnt,30.0,5,0.8963482382749168,0.8934389950555404,-0.0029092432193764672,0.005350195815351811,0.625,False
tabnet,noise,FIN Flag Cnt,50.0,4,0.8963482382749168,0.8701061795247319,-0.026242058750184927,-0.026242058750184927,0.125,False
tabnet,noise,FIN Flag Cnt,75.0,4,0.8963482382749168,0.8895242794972897,-0.006823958777627093,-0.006823958777627093,0.125,False
tabnet,noise,Protocol,1.0,5,0.8963482382749168,0.9022333183301187,0.00588508005520183,-0.0014930262601189127,0.625,False
tabnet,noise,Protocol,5.0,5,0.8963482382749168,0.8915138927787933,-0.004834345496123493,-0.03699692355945592,0.0625,False
tabnet,noise,Protocol,10.0,5,0.8963482382749168,0.9203628286031869,0.024014590328270025,0.0077341245433173444,0.25,False
tabnet,noise,Protocol,20.0,5,0.8963482382749168,0.8823856343497157,-0.0139626039252011,-0.019234499073540755,0.0625,False
tabnet,noise,Protocol,30.0,5,0.8963482382749168,0.8701494929587567,-0.026198745316160177,-0.029859857834332915,0.0625,False
tabnet,noise,Protocol,50.0,4,0.8963482382749168,0.933271670741083,0.03692343246616614,0.03692343246616614,0.125,False
tabnet,noise,Protocol,75.0,4,0.8963482382749168,0.9227790365274342,0.026430798252517373,0.026430798252517373,0.125,False
tabnet,noise,Timestamp,1.0,5,0.8963482382749168,0.938775020967574,0.042426782692657206,0.042426782692657206,0.0625,False
tabnet,noise,Timestamp,5.0,5,0.8963482382749168,0.8916591257991491,-0.004689112475767754,-0.004689112475767754,0.0625,False
tabnet,noise,Timestamp,10.0,5,0.8963482382749168,0.8883502327058078,-0.007998005569109012,-0.007998005569109012,0.0625,False
tabnet,noise,Timestamp,20.0,5,0.8963482382749168,0.8773741838225515,-0.01897405445236533,-0.01897405445236533,0.0625,False
tabnet,noise,Timestamp,30.0,5,0.8963482382749168,0.8755761167142958,-0.020772121560621026,-0.020772121560621026,0.0625,False
tabnet,noise,Timestamp,50.0,4,0.8963482382749168,0.8880630077426607,-0.00828523053225616,-0.00828523053225616,0.125,False
tabnet,noise,Timestamp,75.0,4,0.8963482382749168,0.8195111657152189,-0.07683707255969796,-0.07683707255969796,0.125,False
tabnet,outliers,Down_Up Ratio,1.0,5,0.8963482382749168,0.92217647851619,0.02582824024127317,0.015260134705309892,0.1875,False
tabnet,outliers,Down_Up Ratio,5.0,5,0.8963482382749168,0.9147201713147044,0.01837193303978757,0.011313984798676801,0.25,False
tabnet,outliers,Down_Up Ratio,10.0,5,0.8963482382749168,0.8929516858472714,-0.0033965524276454717,-0.005693941203811259,0.125,False
tabnet,outliers,Down_Up Ratio,20.0,5,0.8963482382749168,0.8938130619992053,-0.002535176275711537,-0.0032736982779068002,0.0625,False
tabnet,outliers,Down_Up Ratio,30.0,5,0.8963482382749168,0.8924235732325924,-0.003924665042324471,-0.0025650424824070093,0.0625,False
tabnet,outliers,Down_Up Ratio,50.0,4,0.8963482382749168,0.8894323005102986,-0.006915937764618185,-0.009427844860641521,0.25,False
tabnet,outliers,Down_Up Ratio,75.0,4,0.8963482382749168,0.8965784964477355,0.000230258172818687,8.81995113589662e-05,1.0,False
tabnet,outliers,FIN Flag Cnt,1.0,5,0.8963482382749168,0.8741434080172877,-0.022204830257629093,-0.011136182421800034,0.25,False
tabnet,outliers,FIN Flag Cnt,5.0,5,0.8963482382749168,0.8869916071625304,-0.009356631112386382,-0.012904561366570033,0.0625,False
tabnet,outliers,FIN Flag Cnt,10.0,5,0.8963482382749168,0.8800649813049781,-0.01628325696993871,-0.01752717166080293,0.0625,False
tabnet,outliers,FIN Flag Cnt,20.0,5,0.8963482382749168,0.9433166134825629,0.046968375207646074,0.027698734341119226,0.25,False
tabnet,outliers,FIN Flag Cnt,30.0,5,0.8963482382749168,0.9243998776513943,0.028051639376477477,0.014459516226614589,0.25,False
tabnet,outliers,FIN Flag Cnt,50.0,4,0.8963482382749168,0.8805184018326934,-0.015829836442223466,-0.015829836442223466,0.125,False
tabnet,outliers,FIN Flag Cnt,75.0,4,0.8963482382749168,0.8954214658760581,-0.000926772398858744,-0.000926772398858744,0.125,False
