model,method,feature,noise_percentage,n_pairs,median_delta,mean_delta,p_value,significant
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,-0.016315932139041034,-0.032006150090067055,0.0002613067626953125,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,-0.07338409843607102,-0.07250340059166187,0.0003948211669921875,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,-0.13541079442203408,-0.12372664953831283,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+DstPort+InitFwdWinByts+Protocol+PSHFlagCnt+FwdSegSizeMin,75.0,20,-0.19605215261495373,-0.19845273098773858,1.9073486328125e-06,True
cnn_lstm,outliers,FwdActDataPkts+IdleMean+InitFwdWinByts,10.0,20,-0.0027369953809794345,-0.0036971412667831495,0.21616744995117188,False
cnn_lstm,outliers,FwdActDataPkts+IdleMean+InitFwdWinByts,20.0,20,-0.0024591734141445887,-0.006110177556326646,0.49800872802734375,False
cnn_lstm,outliers,FwdActDataPkts+IdleMean+InitFwdWinByts,35.0,20,-0.004750581279888699,-0.011383190267160753,0.11398696899414062,False
cnn_lstm,outliers,FwdActDataPkts+IdleMean+InitFwdWinByts,50.0,20,-0.02378693261801157,-0.029709388882371714,0.00365447998046875,True
cnn_lstm,outliers,FwdActDataPkts+IdleMean+InitFwdWinByts,75.0,20,-0.027419566598237688,-0.04102759069211741,0.012079238891601562,True
cnn_lstm,outliers,FwdActDataPkts+PSHFlagCnt+IdleMean,10.0,20,0.005228216100427008,0.011754778046928427,0.04405403137207031,True
cnn_lstm,outliers,FwdActDataPkts+PSHFlagCnt+IdleMean,20.0,20,0.006810471295257803,0.009519293768420117,0.08969497680664062,False
cnn_lstm,outliers,FwdActDataPkts+PSHFlagCnt+IdleMean,35.0,20,-0.0030745791237803966,-0.0006535424469987783,0.6476554870605469,False
cnn_lstm,outliers,FwdActDataPkts+PSHFlagCnt+IdleMean,50.0,20,-0.000443651787850996,-0.0009241063979768316,0.7561664581298828,False
cnn_lstm,outliers,FwdActDataPkts+PSHFlagCnt+IdleMean,75.0,20,-0.005416234629390837,-0.008451354095278307,0.20244979858398438,False
cnn_lstm,outliers,Protocol+PSHFlagCnt+FwdSegSizeMin,10.0,20,0.0015864172918383934,0.0009102501494840043,0.7561664581298828,False
cnn_lstm,outliers,Protocol+PSHFlagCnt+FwdSegSizeMin,20.0,20,-0.003951195143653385,8.043932853102342e-05,0.9272785186767578,False
cnn_lstm,outliers,Protocol+PSHFlagCnt+FwdSegSizeMin,35.0,20,-0.007172966919466617,-0.010748725103587103,0.017181396484375,True
cnn_lstm,outliers,Protocol+PSHFlagCnt+FwdSegSizeMin,50.0,20,-0.006465735420411345,-0.0061573129469516315,0.16495704650878906,False
